Author,Category,Contents,Copyright Status,Credits,Downloads,EBook-No.,Illustrator,Language,LoC Class,LoC No.,Original Publication,Release Date,Subject,Title,file_urls,files
"Mansfield, William James, 1878-",Text,,Public domain in the USA.,"Peter Becker, Susan Carr and the Online Distributed Proofreading Team at https: //www.pgdp.net  (This file was produced from images generously made available by The Internet Archive)",74 downloads in the last 30 days.,65569,,English,QK: Science: Botany,,,"Jun 8, 2021",Plant anatomy,Histology of medicinal plants,https://www.gutenberg.org/ebooks/65569.txt.utf-8,"[{'url': 'https://www.gutenberg.org/ebooks/65569.txt.utf-8', 'path': '65569.txt', 'checksum': '1d37e028560fa2f5bf4a74a6f87e9087', 'status': 'downloaded'}]"
"Candolle, Alphonse de, 1806-1893",Text,,Public domain in the USA.,"Produced by Chris Curnow, Turgut Dincer and the Online Distributed Proofreading Team at http: //www.pgdp.net  (This file was produced from images generously made available by The Internet Archive)",81 downloads in the last 30 days.,45917,,English,SB: Agriculture: Plant culture,,,"Jun 8, 2014","Botany, Economic",Origin of Cultivated Plants The International Scientific Series Volume XLVIII,https://www.gutenberg.org/ebooks/45917.txt.utf-8,"[{'url': 'https://www.gutenberg.org/ebooks/45917.txt.utf-8', 'path': '45917.txt', 'checksum': '2dcd005e2b678e8be4a5e19a97c90f1a', 'status': 'downloaded'}]"
"Darwin, Charles, 1809-1882",Text,,Public domain in the USA.,Updated: 2021-11-05,78 downloads in the last 30 days.,2485,,English,QK: Science: Botany,,,"Jan 1, 2001",Plants,The Movements and Habits of Climbing Plants,https://www.gutenberg.org/ebooks/2485.txt.utf-8,"[{'url': 'https://www.gutenberg.org/ebooks/2485.txt.utf-8', 'path': '2485.txt', 'checksum': 'ef5441d978c2406dbae903eab6212885', 'status': 'downloaded'}]"
"Tench, Watkin, 1759?-1833",Text,,Public domain in the USA.,Produced by Col Choat and Stuart Kidd,81 downloads in the last 30 days.,3535,,English,DU: History: General and Eastern Hemisphere: History of Oceania (South Seas),,,"May 8, 2006",Australia -- Discovery and exploration,A Narrative of the Expedition to Botany-Bay,https://www.gutenberg.org/ebooks/3535.txt.utf-8,"[{'url': 'https://www.gutenberg.org/ebooks/3535.txt.utf-8', 'path': '3535.txt', 'checksum': '2cdf1f2e64975064869d15ee0e2ba036', 'status': 'downloaded'}]"
"Merritt, Abraham, 1884-1943",Text,,Public domain in the USA.,Produced by Judith Boss.  HTML version by Al Haines.,226 downloads in the last 30 days.,765,,English,PS: Language and Literatures: American and Canadian literature,,,"Dec 1, 1996",Botanists -- Fiction,The Moon Pool,https://www.gutenberg.org/ebooks/765.txt.utf-8,"[{'url': 'https://www.gutenberg.org/ebooks/765.txt.utf-8', 'path': '765.txt', 'checksum': 'c6ff7b422d50c05cef94798625e2c1bf', 'status': 'downloaded'}]"
"Rohde, Eleanour Sinclair",Text,,Public domain in the USA.,"Produced by Suzanne Lybarger, Brian Janes, Sam W. and the Online Distributed Proofreading Team at http: //www.pgdp.net",354 downloads in the last 30 days.,33654,,English,QK: Science: Botany,,,"Sep 6, 2010",Herbals,The Old English Herbals,https://www.gutenberg.org/ebooks/33654.txt.utf-8,"[{'url': 'https://www.gutenberg.org/ebooks/33654.txt.utf-8', 'path': '33654.txt', 'checksum': 'eba8cd8717de4f126e9665997cd400e0', 'status': 'downloaded'}]"
"Levison, Jacob Joshua, 1881-",Text,,Public domain in the USA.,"Produced by Thaadd, Ben Beasley and the Online Distributed Proofreading Team at https: //www.pgdp.net",242 downloads in the last 30 days.,16116,,English,QK: Science: Botany,14014493,,"Jun 23, 2005",Trees,Studies of Trees,https://www.gutenberg.org/ebooks/16116.txt.utf-8,"[{'url': 'https://www.gutenberg.org/ebooks/16116.txt.utf-8', 'path': '16116.txt', 'checksum': 'ab03c0797d3bbc9454b156c8ce571014', 'status': 'downloaded'}]"
"Milne, A. A. (Alan Alexander), 1882-1956",Text,Corner-of-the-street -- Buckingham Palace -- Happiness -- The christening -- Puppy and I -- Twinkletoes -- The four friends -- Lines and squares -- Brownie -- Independence -- Nursery chairs -- Market Square -- Daffadowndilly -- Water-lilies -- Disobedience -- Spring morning -- The island -- The three foxes -- Politeness -- Jonathan Jo -- At the zoo -- Rice pudding -- Missing -- The King's breakfast -- Hoppity -- At home -- The wrong house -- Summer afternoon -- The dormouse and the doctor -- Shoes and stockings -- Sand-between-the-toes -- Knights and ladies -- Little Bo-Peep and Little Boy-Blue -- The mirror -- Halfway down -- The invaders -- Before tea -- Teddy bear -- Bad Sir Brian Botany -- In the fashion -- The alchemist -- Growing up -- If I were king -- Vespers.,Public domain in the USA.,"deaurider, David Wilson and the Online Distributed Proofreading Team at https: //www.pgdp.net  (This file was produced from images generously made available by The Internet Archive)",436 downloads in the last 30 days.,70271,"Shepard, Ernest H. (Ernest Howard), 1879-1976",English,PZ: Language and Literatures: Juvenile belles lettres,,"United States: E. P. Dutton Company, 1924, pubdate 1925.","Mar 12, 2023","Children's poetry, English",When we were very young,https://www.gutenberg.org/ebooks/70271.txt.utf-8,"[{'url': 'https://www.gutenberg.org/ebooks/70271.txt.utf-8', 'path': '70271.txt', 'checksum': '2c0d7b0f9976b730ab1df8cd5908e088', 'status': 'downloaded'}]"
"Pardo de Tavera, T. H. (Trinidad Hermenegildo), 1857-1925",Text,,Public domain in the USA.,"Produced by Bryan Ness, Jeroen Hellingman, and the Online Distributed Proofreading Team at https: //www.pgdp.net  (This book was produced from scanned images of public domain material from the Google Print project.)",712 downloads in the last 30 days.,26393,,English,QK: Science: Botany,,,"Aug 22, 2008",Botany -- Philippines,The Medicinal Plants of the Philippines,https://www.gutenberg.org/ebooks/26393.txt.utf-8,"[{'url': 'https://www.gutenberg.org/ebooks/26393.txt.utf-8', 'path': '26393.txt', 'checksum': 'fef59df330781ddae81beb19e34bce49', 'status': 'downloaded'}]"
"Lear, Edward, 1812-1888",Text,"A book of nonsense -- Nonsense songs, stories, botany, and alphabets -- More nonsense, pictures, rhymes, botany, etc. -- Laughable lyrics, a fourth book of nonsense poems, songs, botany, music, etc.",Public domain in the USA.,,646 downloads in the last 30 days.,13650,,English,PZ: Language and Literatures: Juvenile belles lettres,,,"Oct 8, 2004","Humorous poetry, English",Nonsense Books,https://www.gutenberg.org/ebooks/13650.txt.utf-8,"[{'url': 'https://www.gutenberg.org/ebooks/13650.txt.utf-8', 'path': '13650.txt', 'checksum': '180567e147a849256538d5137269ea4b', 'status': 'downloaded'}]"
"Culpeper, Nicholas, 1616-1654",Text,,Public domain in the USA.,"Produced by Chris Curnow, Emmy and the Online Distributed Proofreading Team at http: //www.pgdp.net  (This file was produced from images generously made available by The Internet Archive)  In loving memory of Poppy Curnow, who loved her herb garden.",1615 downloads in the last 30 days.,49513,,English,RS: Medicine: Pharmacy and materia medica,,,"Jul 24, 2015",Medicinal plants,"The Complete Herbal To which is now added, upwards of one hundred additional herbs, with a display of their medicinal and occult qualities physically applied to the cure of all disorders incident to mankind: to which are now first annexed, the English physician enlarged, and key to Physic.",https://www.gutenberg.org/ebooks/49513.txt.utf-8,"[{'url': 'https://www.gutenberg.org/ebooks/49513.txt.utf-8', 'path': '49513.txt', 'checksum': '6045492c573011256e70153310b513db', 'status': 'downloaded'}]"
"Parsons, Frances Theodora, 1861-1952",Text,,Public domain in the USA.,"Bob Taylor, the Online Distributed Proofreading Team at https: //www.pgdp.net  (This file was produced from images generously made available by The Internet Archive)",1028 downloads in the last 30 days.,71942,"Smith, Alice Josephine, 1859-1909",English,QK: Science: Botany,04009010,"New York: American Book Company, 1896.","Oct 23, 2023",Plants -- Juvenile literature,Plants and their children,https://www.gutenberg.org/ebooks/71942.txt.utf-8,"[{'url': 'https://www.gutenberg.org/ebooks/71942.txt.utf-8', 'path': '71942.txt', 'checksum': 'd60c5d5f6b39c458f3e1dbd29eb5ec6e', 'status': 'downloaded'}]"
