Author,Category,Contents,Copyright Status,Credits,Downloads,EBook-No.,Illustrator,Language,LoC Class,LoC No.,Original Publication,Release Date,Subject,Title,file_urls,files
,Text,,Public domain in the USA.,Produced by Rita Farinha and Alberto Manuel Brandão Simões (This book was produced from scanned images of public domain material from the Google Print project.),11 downloads in the last 30 days.,39107,,Portuguese,QK: Science: Botany,,,"Mar 11, 2012",Nicotiana,"Noções botanicas das especies de Nicociana mais usadas nas fabricas de tabaco, e da sua cultura",https://www.gutenberg.org/ebooks/39107.txt.utf-8,"[{'url': 'https://www.gutenberg.org/ebooks/39107.txt.utf-8', 'path': '39107.txt', 'checksum': '57c85e1bbc4e3a77ed0397952a189908', 'status': 'downloaded'}]"
"Cannon, William Austin, 1870-1958",Text,,Public domain in the USA.,Galo Flordelis (This file was produced from images generously made available by The Internet Archive),11 downloads in the last 30 days.,70581,,English,QK: Science: Botany,13017680,"United States: Carnegie Institution of Washington, 1913.","Apr 18, 2023",Roots (Botany),Botanical features of the Algerian Sahara,https://www.gutenberg.org/ebooks/70581.txt.utf-8,"[{'url': 'https://www.gutenberg.org/ebooks/70581.txt.utf-8', 'path': '70581.txt', 'checksum': '1a41eb55a93cdb30a95371a32e4aaf87', 'status': 'downloaded'}]"
"Bonwick, James, 1817-1906",Text,,Public domain in the USA.,Produced by David E. Brown and The Online Distributed Proofreading Team at http: //www.pgdp.net  (This file was produced from scans of public domain works at The National Library of Australia.),11 downloads in the last 30 days.,57142,,English,QK: Science: Botany,,,"May 12, 2018",Plant physiology -- Juvenile literature,"How Does a Tree Grow? Or, Botany for Young Australians",https://www.gutenberg.org/ebooks/57142.txt.utf-8,"[{'url': 'https://www.gutenberg.org/ebooks/57142.txt.utf-8', 'path': '57142.txt', 'checksum': '284add6334af4ecb35124ada5ff7a68c', 'status': 'downloaded'}]"
"Gray, Asa, 1810-1888",Text,,Public domain in the USA.,"Produced by Chuck Greif, Jana Srna, Bryan Ness and the Online Distributed Proofreading Team at http: //www.pgdp.net (This file was produced from images generously made available by Biodiversity Heritage Library.)",16 downloads in the last 30 days.,55987,,English,QK: Science: Botany,,,"Nov 17, 2017",Botanists -- United States -- Correspondence,Letters of Asa Gray; Vol. 2,https://www.gutenberg.org/ebooks/55987.txt.utf-8,"[{'url': 'https://www.gutenberg.org/ebooks/55987.txt.utf-8', 'path': '55987.txt', 'checksum': '6ea9031e5144bfdbc853fd8e907227e4', 'status': 'downloaded'}]"
"Marsili, Giovanni, 1727-1795",Text,,Public domain in the USA.,Produced In Memory of Sabine Glaser,16 downloads in the last 30 days.,15139,,Italian,QK: Science: Botany,,,"Feb 22, 2005",Botanical gardens -- Italy -- Padua,Notizie del pubblico giardino de' semplici di Padova compilate intorno l'anno 1771,https://www.gutenberg.org/ebooks/15139.txt.utf-8,"[{'url': 'https://www.gutenberg.org/ebooks/15139.txt.utf-8', 'path': '15139.txt', 'checksum': 'ad66feb05a47c99aff46536c78937003', 'status': 'downloaded'}]"
"Bonwick, James, 1817-1906",Text,,Public domain in the USA.,Produced by Martin Pettit and the Online Distributed Proofreading Team at http: //www.pgdp.net  (This file was produced from scans of public domain works at The National Library of Australia.),16 downloads in the last 30 days.,57344,,English,"G: Geography, Anthropology, Recreation",,,"Jun 17, 2018",New South Wales -- History -- To 1788,"Captain Cook in New South Wales; Or, The Mystery of Naming Botany Bay",https://www.gutenberg.org/ebooks/57344.txt.utf-8,"[{'url': 'https://www.gutenberg.org/ebooks/57344.txt.utf-8', 'path': '57344.txt', 'checksum': '767ee339872efb0e7910c453f94af91a', 'status': 'downloaded'}]"
"Smith, James Edward, 1759-1828",Text,,Public domain in the USA.,Produced by Omaio Systems,18 downloads in the last 30 days.,39534,,Latin,QK: Science: Botany,,,"Apr 25, 2012",Hymenophyllaceae,"Tentamen Botanicum de Filicum Generibus Dorsiferarum Mémoires de l'Académie Royale des Sciences de Turin vol. 5, 401-422",https://www.gutenberg.org/ebooks/39534.txt.utf-8,"[{'url': 'https://www.gutenberg.org/ebooks/39534.txt.utf-8', 'path': '39534.txt', 'checksum': 'd0c4ff34e7b8f880f8123d6c5c3e98a1', 'status': 'downloaded'}]"
"Duncan, P. Martin (Peter Martin), 1821-1891",Text,,Public domain in the USA.,"Sharon Joiner, Bryan Ness and the Online Distributed Proofreading Team at https: //www.pgdp.net  (This file was produced from images generously made available by The Internet Archive/Canadian Libraries)",19 downloads in the last 30 days.,70356,,English,QH: Science: Natural history,10006132,"United Kingdom: London Society for Promoting Christian Knowledge, 1882.","Mar 23, 2023",Naturalists,"Heroes of science :  Botanists, zoologists, and geologists",https://www.gutenberg.org/ebooks/70356.txt.utf-8,"[{'url': 'https://www.gutenberg.org/ebooks/70356.txt.utf-8', 'path': '70356.txt', 'checksum': 'ed3644ce34262dd73d7c3afa2cf27830', 'status': 'downloaded'}]"
"Darwin, Charles, 1809-1882",Text,,Public domain in the USA.,Updated: 2021-10-17,19 downloads in the last 30 days.,4346,,English,QK: Science: Botany,,,"Aug 1, 2003",Pollination,The Effects of Cross & Self-Fertilisation in the Vegetable Kingdom,https://www.gutenberg.org/ebooks/4346.txt.utf-8,"[{'url': 'https://www.gutenberg.org/ebooks/4346.txt.utf-8', 'path': '4346.txt', 'checksum': '1d563a6cb715e5a980b3d1789097b4e7', 'status': 'downloaded'}]"
"Grew, Nehemiah, 1641-1712",Text,,Public domain in the USA.,Produced by The Online Distributed Proofreading Team at http: //www.pgdp.net  (This file was produced from images generously made available by The Internet Archive),19 downloads in the last 30 days.,58138,,English,QK: Science: Botany,06005385,,"Oct 19, 2018",Botany -- Pre-Linnean works,The Anatomy of Vegetables Begun With a General Account of Vegetation founded thereon,https://www.gutenberg.org/ebooks/58138.txt.utf-8,"[{'url': 'https://www.gutenberg.org/ebooks/58138.txt.utf-8', 'path': '58138.txt', 'checksum': '04e36d4b0151c2a45db7180d62417744', 'status': 'downloaded'}]"
"Balfour, John Hutton, 1808-1884",Text,,Public domain in the USA.,"Produced by Brian Coe, John Campbell and the Online Distributed Proofreading Team at http: //www.pgdp.net  (This file was produced from images generously made available by The Internet Archive/American Libraries.)",19 downloads in the last 30 days.,50882,,English,QE: Science: Geology,06010144,,"Jan 9, 2016",Paleobotany,Introduction to the Study of Palæontological Botany,https://www.gutenberg.org/ebooks/50882.txt.utf-8,"[{'url': 'https://www.gutenberg.org/ebooks/50882.txt.utf-8', 'path': '50882.txt', 'checksum': 'ebbc5a55a4018210be6349b3e772e6da', 'status': 'downloaded'}]"
"Schimper, A. F. W. (Andreas Franz Wilhelm), 1856-1901",Text,,Public domain in the USA.,,19 downloads in the last 30 days.,23672,,German,QK: Science: Botany,,,"Dec 2, 2007",Botany -- Tropics,Die epiphytische Vegetation Amerikas,https://www.gutenberg.org/ebooks/23672.txt.utf-8,"[{'url': 'https://www.gutenberg.org/ebooks/23672.txt.utf-8', 'path': '23672.txt', 'checksum': '515781ca39cab79bf9ae23931215dbbf', 'status': 'downloaded'}]"
Various,Text,,Public domain in the USA.,Produced by The Online Distributed Proofreading Team at http: //www.pgdp.net  (This file was produced from images generously made available by The Internet Archive),21 downloads in the last 30 days.,58276,,English,SB: Agriculture: Plant culture,,,"Nov 11, 2018",Floriculture -- Periodicals,"The Florist and Horticultural Journal, Vol. II. No. 7, July, 1853 A Monthly Magazine of Horticulture, Agriculture, Botany, Agricultural Chemistry, Entomology, &c.",https://www.gutenberg.org/ebooks/58276.txt.utf-8,"[{'url': 'https://www.gutenberg.org/ebooks/58276.txt.utf-8', 'path': '58276.txt', 'checksum': '48b1f55f90d1ff5cb6dfb034088eeb07', 'status': 'downloaded'}]"
"Machado de Assis, 1839-1908",Text,A Carolina -- Pae contra mãe -- Maria Cora -- Marcha funebre -- Um capitão de voluntarios -- Suje-se gordo!--Umas ferias -- Evolução -- Pylades e Orestes -- Anecdota do cabriolet -- Paginas criticas e commemorativas -- Não consultes medico -- Licção de botanica.,Public domain in the USA.,"Rita Farinha, Alberto Manuel Brandão Simões and the Online Distributed Proofreading Team at https: //www.pgdp.net  (This file was produced from images generously made available by Brasiliana Digital.)",23 downloads in the last 30 days.,67935,,Portuguese,"PQ: Language and Literatures: Romance literatures: French, Italian, Spanish, Portuguese",,"Brazil: H. Garnier, Livreiro-Editor,1906.","Apr 26, 2022",Brazilian fiction -- 20th century,Reliquias de Casa Velha,https://www.gutenberg.org/ebooks/67935.txt.utf-8,"[{'url': 'https://www.gutenberg.org/ebooks/67935.txt.utf-8', 'path': '67935.txt', 'checksum': '65c5040776e2367cd11eaee506dd75e9', 'status': 'downloaded'}]"
